"Party","Name","Constituency","Voting.1","Voting.2","Voting.3","Voting.4","Voting.5","Voting.6","Voting.7","Voting.8"
"CON","Robert Jenrick
","44","-1","-1","-1","-1","-1","1","-1","-1"
"CON","Boris Johnson
","43","-1","-1","-1","-1","-1","1","1","-1"
"CON","Caroline Johnson
","38","-1","-1","-1","-1","-1","1","1","-1"
"LAB","Diana Johnson
","40","1","1","1","1","0","-1","-1","-1"
"CON","Gareth Johnson
","36","-1","-1","-1","-1","-1","1","1","-1"
"CON","Joseph Johnson
","43","-1","1","-1","-1","-1","-1","-1","-1"
"CON","Andrew Jones
","53","-1","-1","-1","-1","-1","-1","-1","-1"
"LAB","Darren Jones
","58","1","1","1","0","1","-1","-1","-1"
"CON","David Jones
","47","-1","-1","-1","-1","-1","1","1","-1"
"LAB","Gerald Jones
","42","1","1","1","1","0","-1","-1","0"
"LAB","Debbie Abrahams
","40","1","1","1","0","0","-1","-1","-1"
"LAB","Helen Jones
","42","1","-1","1","1","-1","-1","-1","-1"
"LAB","Kevan Jones
","40","1","-1","1","-1","0","-1","-1","-1"
"CON","Marcus Jones
","35","-1","-1","-1","-1","-1","1","-1","-1"
"LAB","Sarah Jones
","50","1","1","1","1","1","-1","-1","0"
"LAB","Susan Elan Jones
","40","1","1","1","0","1","-1","-1","-1"
"LAB","Mike Kane
","50","1","0","1","1","0","-1","-1","0"
"CON","Daniel Kawczynski
","47","-1","-1","-1","-1","-1","1","-1","-1"
"CON","Gillian Keegan
","49","-1","-1","-1","-1","-1","-1","-1","0"
"LAB","Barbara Keeley
","40","1","1","1","0","0","-1","-1","0"
"LAB","Liz Kendall
","49","1","1","1","0","1","-1","-1","-1"
"CON","Seema Kennedy
","43","-1","-1","-1","-1","-1","-1","-1","-1"
"CON","Stephen Kerr
","68","-1","-1","-1","-1","-1","-1","-1","1"
"LAB","Afzal Khan
","62","1","1","1","1","0","-1","-1","0"
"LAB","Ged Killen
","62","1","1","1","0","1","-1","-1","-1"
"LAB","Stephen Kinnock
","40","1","0","1","1","0","-1","-1","1"
"CON","Sir Greg Knight
","36","-1","-1","-1","-1","-1","1","-1","-1"
"CON","Julian Knight
","47","-1","-1","-1","-1","-1","0","1","1"
"CON","Kwasi Kwarteng
","40","-1","-1","-1","-1","-1","1","-1","-1"
"LAB","Peter Kyle
","67","1","1","1","1","1","-1","-1","-1"
"LAB","Lesley Laird
","57","1","1","1","1","1","-1","-1","0"
"OTH","Ben Lake
","55","0","1","0","1","1","-1","-1","0"
"OTH","Norman Lamb
","42","1","1","0","1","0","-1","-1","0"
"LAB","David Lammy
","76","0","1","1","0","1","-1","-1","-1"
"CON","John Lamont
","57","-1","-1","-1","-1","-1","0","0","-1"
"CON","Mark Lancaster
","50","-1","-1","-1","-1","-1","1","1","-1"
"CON","Pauline Latham
","47","-1","-1","-1","-1","-1","0","1","-1"
"LAB","Ian Lavery
","44","1","0","1","1","0","-1","1","0"
"SNP","Chris Law
","59","0","1","0","0","1","-1","-1","-1"
"LAB","Karen Lee
","43","1","1","1","-1","0","-1","-1","0"
"CON","Phillip Lee
","47","-1","1","-1","-1","1","-1","-1","-1"
"CON","Jeremy Lefroy
","43","1","0","0","1","0","-1","0","1"
"CON","Sir Edward Leigh
","38","-1","-1","-1","-1","-1","1","1","-1"
"OTH","Chris Leslie
","57","-1","1","-1","-1","1","-1","-1","-1"
"CON","Sir Oliver Letwin
","49","1","-1","-1","1","-1","-1","-1","1"
"LAB","Emma Lewell-Buck
","38","1","-1","1","0","0","-1","-1","0"
"CON","Andrew Lewer
","41","-1","-1","-1","-1","-1","1","1","-1"
"LAB","Clive Lewis
","60","1","1","1","-1","1","-1","-1","-1"
"OTH","Ivan Lewis
","45","1","-1","1","1","0","-1","-1","-1"
"CON","Julian Lewis
","40","-1","-1","-1","-1","-1","1","1","-1"
"CON","Ian Liddell-Grainger
","38","-1","-1","-1","-1","-1","1","-1","-1"
"SNP","David Linden
","56","0","1","0","0","1","-1","-1","-1"
"OTH","Emma Little Pengelly
","70","-1","-1","-1","0","-1","0","1","0"
"OTH","Stephen Lloyd
","43","1","0","1","1","1","-1","-1","1"
"LAB","Tony Lloyd
","43","1","1","1","1","0","-1","-1","-1"
"LAB","Rebecca Long Bailey
","46","1","1","1","1","0","-1","-1","0"
"CON","Julia Lopez
","30","-1","-1","-1","-1","-1","1","1","-1"
"CON","Jack Lopresti
","51","-1","-1","-1","-1","-1","1","-1","-1"
"CON","Jonathan Lord
","56","-1","-1","-1","-1","-1","1","1","-1"
"CON","Tim Loughton
","46","-1","-1","-1","-1","-1","1","1","-1"
"OTH","Caroline Lucas
","74","-1","1","-1","-1","1","-1","-1","-1"
"LAB","Ian C. Lucas
","42","1","1","1","1","-1","-1","-1","-1"
"LAB","Holly Lynch
","41","1","1","1","1","0","-1","-1","0"
"LAB","Steve McCabe
","53","1","1","1","1","0","-1","-1","0"
"LAB","Kerry McCarthy
","53","1","1","1","-1","1","-1","-1","-1"
"LAB","Siobhain McDonagh
","55","-1","1","-1","-1","1","-1","-1","-1"
"LAB","Andy McDonald
","34","1","1","1","1","0","-1","0","0"
"SNP","Stewart Malcolm McDonald
","72","0","1","0","0","1","-1","-1","-1"
"SNP","Stuart C. McDonald
","63","0","1","0","0","1","-1","-1","-1"
"LAB","John McDonnell
","42","1","1","1","1","0","-1","-1","0"
"LAB","Pat McFadden
","32","1","1","1","0","0","-1","-1","-1"
"LAB","Conor McGinn
","42","1","1","1","1","0","-1","-1","0"
